compound_name,BBB+/BBB-,MW,LogP,HBD,HBA
lupitidine (y-g5; skf93479),BBB-,413.5470000000002,3.064020000000001,2.0,7.0
cytisine,BBB-,190.24599999999998,0.5549999999999999,1.0,3.0
amiodarone,BBB-,645.3190000000002,6.936200000000007,0.0,4.0
lupitidine,BBB-,413.5470000000002,3.1962200000000003,3.0,7.0
zolmitriptan,BBB-,287.36299999999994,1.9229,2.0,3.0
127779-20-8,BBB-,670.855,3.092400000000003,5.0,7.0
vincristine,BBB-,824.9719999999999,3.5175000000000027,3.0,12.0
vincristine,BBB-,824.9719999999999,3.5175000000000027,3.0,12.0
139264-82-7,BBB-,287.36299999999994,1.9229,2.0,3.0
fexofenadine (allegra),BBB+,501.66700000000014,5.510500000000006,3.0,4.0
proc-19m,BBB+,477.64900000000046,4.727900000000004,0.0,4.0
ivermectin,BBB+,875.1060000000002,5.601400000000008,3.0,14.0
chembl68445,BBB+,440.4990000000001,5.246300000000004,2.0,4.0
oseltamivir,BBB+,314.42600000000004,1.3428000000000009,2.0,6.0
cadralazine,BBB+,297.35900000000004,1.1451999999999996,3.0,7.0
compound 17,BBB+,373.4160000000001,2.3132,0.0,6.0
ac1nfq3w,BBB+,389.41100000000023,2.2112999999999996,1.0,4.0
156154-71-1,BBB+,304.3020000000001,2.2887000000000004,1.0,6.0
dm-44,BBB+,304.3020000000001,2.2887000000000004,1.0,6.0
amezinium,BBB+,202.23700000000005,0.9490999999999997,1.0,3.0
-,BBB+,517.6950000000002,4.011700000000004,1.0,5.0
ro65-7674,BBB+,429.5710000000002,2.1823000000000006,1.0,8.0
chembl3264225,BBB+,424.49700000000024,2.5215200000000006,3.0,6.0
"celecoxib, celebrex",BBB+,381.3790000000001,3.5139200000000006,1.0,4.0
liarozole,BBB+,308.77200000000005,4.050500000000003,1.0,3.0
ridogrel,BBB+,366.33900000000006,4.124300000000003,1.0,4.0
chembl1185227,BBB+,516.6420000000004,3.417200000000003,0.0,5.0
"takle-2; l-779,450",BBB+,347.80500000000006,5.1647000000000025,2.0,3.0
saquinavir,BBB+,670.855,3.092400000000003,5.0,7.0
anabet,BBB+,309.406,0.6347999999999998,4.0,5.0
156154-42-6,BBB+,293.75000000000006,3.033900000000001,1.0,4.0
nelfinavir mesylate,BBB+,567.7960000000003,4.747620000000004,4.0,6.0
nelfinavir,BBB+,581.8230000000003,4.790120000000004,4.0,7.0
miloxacin,BBB+,263.205,0.48679999999999984,1.0,6.0
chembl243790,BBB+,531.6740000000005,6.6630000000000065,1.0,6.0
atenolol ,BBB+,266.34099999999995,0.45210000000000006,3.0,4.0
prazosin,BBB+,383.40800000000024,1.7845999999999997,1.0,8.0
glibenclamide,BBB+,494.0130000000003,3.641700000000003,3.0,5.0
prednisone,BBB+,358.43400000000014,1.7658,2.0,5.0
161105-56-2,BBB+,470.65700000000015,5.3071000000000055,2.0,4.0
l001588,BBB+,444.52600000000024,3.0676000000000014,3.0,5.0
mk-0969,BBB+,444.52600000000024,3.0676000000000014,3.0,5.0
s118,BBB+,340.48900000000015,2.632100000000001,1.0,4.0
4201-26-7,BBB+,209.67999999999998,2.0195199999999995,2.0,3.0
takle-1; sb-590885,BBB+,467.5730000000002,4.431200000000003,2.0,6.0
sulfamethoxypyridazine,BBB+,280.30899999999997,0.8681999999999999,2.0,6.0
alovudine,BBB+,244.22199999999998,-0.53708,2.0,5.0
chembl357268,BBB+,375.4280000000001,3.9475000000000025,3.0,4.0
nsc169534,BBB+,543.5250000000003,0.0012999999999993017,6.0,12.0
doxorubicin,BBB+,543.5250000000003,0.0012999999999993017,6.0,12.0
omeprazole,BBB+,345.4240000000001,2.8997400000000004,1.0,5.0
ly2066948,BBB+,517.6470000000005,6.272900000000007,1.0,6.0
domperidone,BBB+,425.92000000000013,3.353200000000002,2.0,5.0
aciclovir,BBB+,225.20799999999997,-1.3318000000000003,3.0,7.0
"tiotidine (skb10, y-g10)",BBB+,312.42800000000005,0.32775,5.0,6.0
penicillic acid,BBB+,170.16399999999996,0.7464999999999999,1.0,3.0
chembl213760,BBB+,441.56000000000023,4.631700000000004,0.0,7.0
compound 4b [pmid: 16099654],BBB+,321.34000000000003,2.569300000000001,1.0,6.0
compound 13,BBB+,516.0710000000001,3.6149000000000022,2.0,8.0
colchicine,BBB+,399.4430000000002,2.871600000000001,1.0,6.0
risperidone-9-oh,BBB+,425.50400000000025,3.6863200000000034,1.0,6.0
levodopa,BBB+,197.18999999999997,0.052200000000000135,4.0,4.0
d-phenylalanine-l-proline,BBB+,278.30799999999994,0.5635999999999999,2.0,5.0
"2',3'-dideoxy-3'-hydroxymethylcytidine",BBB+,241.24699999999999,-1.2862000000000002,3.0,7.0
penicillic acid,BBB+,170.16399999999996,0.7464999999999999,1.0,3.0
irie-16c,BBB+,468.6020000000003,3.117580000000001,2.0,7.0
"2´,3´-dideoxy-3´-hydroxymethylcytidine",BBB+,241.24699999999999,-1.2862000000000002,3.0,7.0
cyclosporine a,BBB+,1202.6349999999993,3.2690000000000046,5.0,12.0
cyclosporine a,BBB+,1202.6349999999993,3.2690000000000046,5.0,12.0
cyclosporin a,BBB+,1202.6349999999993,3.2690000000000046,5.0,12.0
cyclosporin a,BBB+,1202.634999999999,3.2690000000000046,5.0,12.0
n-methylthiazolium-dcka,BBB+,398.29100000000005,3.4288200000000018,1.0,4.0
levodopa,BBB+,197.18999999999997,0.052200000000000135,4.0,4.0
chembl244000,BBB+,455.55400000000037,6.5750000000000055,2.0,5.0
ofloxacin,BBB+,361.37300000000005,1.5439999999999998,1.0,6.0
indinavir,BBB+,613.8030000000003,2.8669000000000016,4.0,7.0
chembl344991,BBB+,414.5310000000002,4.513600000000003,2.0,6.0
-,BBB+,400.5040000000001,4.372500000000003,2.0,6.0
b-057,BBB+,369.5340000000001,4.605400000000003,2.0,4.0
,BBB+,369.534,4.605400000000003,2.0,4.0
zidovudine,BBB+,267.245,-0.19628000000000012,2.0,6.0
roscovitine,BBB+,354.4580000000001,3.2021000000000015,3.0,7.0
zidovudine,BBB+,268.253,-0.95621,3.0,7.0
zidovudine,BBB+,269.261,-0.9710099999999997,4.0,7.0
ncistruc1_000794,BBB+,267.245,-0.19628000000000012,2.0,6.0
"alfentanil, rapifen",BBB+,430.5530000000002,1.7739999999999994,0.0,8.0
6-mercaptopurine,BBB+,152.182,1.0154899999999998,2.0,3.0
zidovudine,BBB+,267.245,-0.19628000000000012,2.0,6.0
cyclosporin a,BBB+,1202.634999999999,3.2690000000000046,5.0,12.0
quinidine,BBB+,323.4360000000001,4.515200000000004,1.0,3.0
"n-[3-hydroxy-5-[[3-methyl-2-[[[methyl-[(2-propan-2-yl-4-thiazolyl)methyl]amino]-oxomethyl]amino]-1-oxobutyl]amino]-1,6-diphenylhexan-2-yl]carbamic acid 5-thiazolylmethyl ester",BBB+,720.9620000000001,5.905200000000005,4.0,9.0
levocabastine hydrochloride,BBB+,420.5280000000002,4.894080000000004,1.0,3.0
"5-chloro-4-methyl-1,4-dihydroquinazolin-2-amine",BBB+,195.653,2.1412000000000004,2.0,3.0
2-o-methyl-paf (c),BBB+,524.7440000000003,7.119300000000009,1.0,5.0
mitratapid,BBB+,717.2960000000002,5.553000000000006,0.0,13.0
verapamil,BBB+,454.6110000000002,5.093080000000005,0.0,6.0
dexverapamil,BBB+,454.6110000000002,5.093080000000005,0.0,6.0
chembl239099,BBB+,458.56200000000035,3.442980000000002,0.0,5.0
paliperidone,BBB+,426.49200000000025,3.081320000000002,1.0,7.0
granisetron,BBB+,312.4170000000001,2.3183999999999996,1.0,4.0
s120,BBB+,231.20299999999997,-0.8449999999999998,2.0,4.0
chembl476130,BBB+,426.5650000000002,2.8586800000000006,3.0,7.0
7-hydroxy risperidone,BBB+,426.49200000000025,2.5612200000000005,1.0,7.0
ribavirin,BBB+,244.20700000000002,-3.0114999999999994,4.0,8.0
-,BBB+,356.245,3.215700000000002,3.0,4.0
bbcpd12 (cimetidine derivative) (skb15),BBB+,357.233,3.4257000000000017,2.0,5.0
ribavirin,BBB+,244.20700000000002,-3.0114999999999994,4.0,8.0
y15,BBB+,138.174,0.015399999999999747,4.0,4.0
compound 31,BBB+,357.233,2.2380000000000004,1.0,6.0
b-049,BBB+,357.233,3.4257000000000017,2.0,5.0
nalidixicacid,BBB+,232.23899999999998,1.4230200000000002,1.0,4.0
112598-30-8,BBB+,278.337,2.6632000000000007,2.0,5.0
prazosin,BBB+,382.42000000000024,2.5108200000000007,0.0,7.0
y16,BBB+,384.4350000000001,4.035420000000002,1.0,3.0
schembl5010920,BBB+,486.4120000000001,5.2226000000000035,1.0,3.0
compound 32,BBB+,278.337,1.4755,1.0,6.0
tolonidine,BBB+,209.68000000000004,2.01952,2.0,3.0
itraconazole,BBB+,705.6470000000002,5.5773000000000055,0.0,12.0
itraconazole,BBB+,705.6470000000002,5.5773000000000055,0.0,12.0
norverapamil,BBB+,440.58400000000023,4.750880000000005,1.0,6.0
ketoconazole,BBB+,531.4399999999999,4.205800000000003,0.0,7.0
jnj-5207787,BBB+,511.6700000000005,4.626580000000005,0.0,5.0
,BBB+,350.44300000000004,4.381100000000003,2.0,4.0
darifenacin,BBB+,426.5600000000003,3.957500000000003,1.0,3.0
darifenacin,BBB+,426.5600000000003,3.957500000000003,1.0,3.0
alovudine ,BBB+,244.22199999999998,-0.53708,2.0,5.0
s-methylisothiourea,BBB+,90.15100000000001,0.24287000000000009,2.0,2.0
beta-oxycodol,BBB+,303.35800000000006,0.49779999999999963,3.0,5.0
"(4as,7r,7ar,12bs)-9-methoxy-3-methyl-1,2,4,5,6,7,7a,13-octahydro-4,12-methanobenzofuro[3,2-e]isoquinoline-4a,7-diol",BBB+,317.3850000000001,0.8399999999999999,2.0,5.0
chembl239299,BBB+,457.5210000000002,3.7070000000000025,0.0,4.0
s 18986,BBB+,224.285,0.9047999999999998,1.0,3.0
bromocriptine,BBB+,638.607,3.8728000000000025,2.0,5.0
schembl6949469,BBB+,300.31800000000004,1.5917199999999998,1.0,5.0
s-licarbizine,BBB+,254.289,2.4929000000000006,2.0,2.0
chembl2096766,BBB+,453.58600000000035,5.497300000000005,1.0,4.0
tacedinaline,BBB+,269.304,2.4795,3.0,3.0
tipr-dcka,BBB+,596.5619999999999,5.742320000000006,2.0,9.0
chembl390020,BBB+,455.55400000000037,6.5750000000000055,2.0,5.0
chembl195725,BBB+,505.63700000000034,2.4028,3.0,7.0
ncgc00159461-02,BBB+,505.63700000000034,2.4028,3.0,7.0
amprenavir,BBB+,505.63700000000034,2.4028,3.0,7.0
bmsp,BBB+,488.4010000000003,4.321800000000003,0.0,4.0
practolol,BBB+,266.34099999999995,1.3826999999999992,3.0,4.0
paclitaxel,BBB+,853.9180000000001,3.735700000000003,4.0,14.0
pregabalin,BBB+,159.229,1.0821,2.0,2.0
zolpidem,BBB+,309.413,2.846820000000001,1.0,3.0
515134-70-0,BBB+,348.4460000000001,3.6940200000000027,2.0,2.0
acetazolamide,BBB+,222.251,-0.8561000000000003,2.0,6.0
4-epiminocycline,BBB+,457.48300000000023,0.030000000000001803,5.0,9.0
minocycline,BBB+,457.48300000000023,0.030000000000001803,5.0,9.0
eletriptan,BBB+,382.5290000000001,3.8210000000000024,1.0,3.0
tg4-155,BBB+,394.4710000000001,3.805120000000003,1.0,5.0
sb-357134,BBB+,523.2220000000002,3.5697000000000028,2.0,5.0
bis(chloroethyl)nitrosourea (carmustine) (bcnu),BBB+,214.052,1.157,1.0,3.0
besonprodil,BBB+,402.4910000000001,3.3225000000000025,1.0,4.0
chembl2111136,BBB+,308.3810000000001,3.676400000000002,1.0,4.0
schembl8717354,BBB+,414.5490000000002,4.084800000000003,1.0,3.0
faha,BBB+,266.316,2.2712000000000003,2.0,2.0
50-78-2,BBB+,180.15899999999996,1.3101,1.0,3.0
phenylbutazone,BBB+,308.3810000000001,3.7878000000000025,0.0,2.0
gefitinib,BBB+,446.9100000000004,4.275600000000003,1.0,7.0
epicorticosterone,BBB+,346.46700000000016,2.666700000000002,2.0,4.0
melphalan,BBB+,305.205,1.925,2.0,3.0
isotretinoin (13-cis-retinoic acid),BBB+,300.44200000000006,5.602600000000005,1.0,1.0
11-cis retinoic acid,BBB+,300.44200000000006,5.602600000000005,1.0,1.0
tretinoin,BBB+,300.44200000000006,5.602600000000005,1.0,1.0
zolpidem,BBB+,307.39700000000005,3.2488400000000013,0.0,3.0
stavudine,BBB+,224.21599999999998,-0.7090799999999999,2.0,5.0
phenothiazine,BBB+,300.427,3.2565000000000017,0.0,3.0
chembl385336,BBB+,350.4470000000001,3.623800000000002,0.0,6.0
temozolomide,BBB+,194.154,-2.078099999999999,1.0,7.0
chembl148058,BBB+,408.47,2.544500000000001,1.0,4.0
skb30 (npropylacetamide33npiperidinylmethylphenoxy),BBB+,290.40700000000004,2.5775000000000006,1.0,3.0
y30,BBB+,578.4520000000003,5.613200000000004,3.0,4.0
naratriptan,BBB+,335.4730000000001,2.0687999999999995,2.0,3.0
chembl239975,BBB+,439.5310000000004,3.5695000000000023,0.0,4.0
flesinoxan,BBB+,415.4650000000002,1.5097999999999998,2.0,6.0
flesinoxan,BBB+,415.4650000000002,1.5097999999999998,2.0,6.0
salicyluric acid (salicylurate),BBB+,195.174,0.2065999999999995,3.0,3.0
-,BBB+,276.37999999999994,2.5513000000000003,2.0,3.0
skf 89124,BBB+,276.37999999999994,2.5513000000000003,2.0,3.0
besp,BBB+,502.42800000000034,4.711900000000004,0.0,4.0
fleroxacin,BBB+,369.3430000000002,1.6991999999999998,1.0,5.0
cycloleucine,BBB+,129.159,0.34249999999999936,2.0,2.0
dibudipine,BBB+,430.50100000000026,4.5130000000000035,1.0,7.0
topotecan,BBB+,421.4530000000002,1.8468000000000002,2.0,8.0
topotecan,BBB+,441.5090000000002,3.4990000000000023,2.0,8.0
pfizer compound 14,BBB+,429.5860000000001,2.9887000000000015,2.0,5.0
mgs0028,BBB+,217.152,-1.2197999999999998,3.0,4.0
sumatriptan,BBB+,295.408,1.3211999999999997,2.0,3.0
carteolol,BBB+,292.37899999999996,1.6990999999999998,3.0,4.0
acrylonitrile,BBB+,53.06399999999999,0.6959799999999999,0.0,1.0
pf-4447943,BBB+,395.4670000000002,1.4965999999999997,1.0,8.0
probenecid,BBB+,285.36499999999995,2.1955,1.0,3.0
mesoridazine,BBB+,386.5860000000001,4.901100000000005,0.0,4.0
compound 3a [pmid: 16099654],BBB+,307.309,3.2543200000000017,1.0,5.0
"tramiprosate, alzhemed",BBB+,139.176,-0.7769999999999997,2.0,3.0
chembl1190347,BBB+,467.9970000000004,4.224700000000003,0.0,4.0
compound 6h,BBB+,454.53100000000035,2.895200000000001,4.0,9.0
sb 649915,BBB+,431.5360000000002,4.207620000000003,1.0,5.0
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,BBB+,194.234,1.0476999999999999,0.0,2.0
"alpha-(4-pyridyl-1-oxide)-n-tert-
butylnitrone",BBB+,194.234,1.0476999999999999,0.0,2.0
alpha-(4-pyridyl-1-oxide)-n-tert-butylnitrone,BBB+,194.234,2.2885,0.0,3.0
nolpitantium,BBB+,620.6850000000002,8.225900000000008,0.0,2.0
escitalopram,BBB+,324.39900000000006,3.812980000000003,0.0,3.0
chembl243571,BBB+,546.6890000000005,6.119700000000006,1.0,6.0
pfizer compound 18,BBB+,500.6900000000003,4.449140000000003,2.0,7.0
liv-20a,BBB+,326.40000000000003,2.9373000000000014,1.0,5.0
mesoridazine,BBB+,318.48600000000016,3.4307000000000025,0.0,4.0
"[(2r,9s)-2-carbamoyl-9-tricyclo[9.4.0.03,8]pentadeca-1(15),3,5,7,11,13-hexaenyl] acetate",BBB+,295.338,2.4641,1.0,3.0
schembl11119364,BBB+,266.344,4.124000000000002,1.0,1.0
"carbamazepine, 9,10-epoxide",BBB+,251.285,2.4298,1.0,2.0
cbz-epo,BBB+,250.301,3.4879000000000024,1.0,1.0
,BBB+,251.285,2.4298,1.0,2.0
cotinine,BBB+,176.21900000000002,1.3749,0.0,2.0
risperidone,BBB+,409.5050000000003,4.195420000000004,0.0,5.0
schembl8639797,BBB+,344.37400000000014,2.814000000000001,0.0,6.0
acetaminophen (p-acetamidophenol),BBB+,151.165,1.3505999999999998,2.0,2.0
betahistine (y-g 14),BBB+,136.19799999999995,0.8434999999999999,1.0,2.0
theophylline,BBB+,180.16699999999997,-1.0397000000000005,1.0,5.0
b-096,BBB+,252.273,3.0294000000000016,1.0,2.0
dichloromethane,BBB+,84.93299999999999,1.4215,0.0,0.0
morphine,BBB+,285.343,1.1981,2.0,4.0
16a-fluoroestradiol,BBB+,290.378,3.557200000000002,2.0,2.0
cyclobarbital,BBB+,236.271,1.2491999999999996,2.0,3.0
fg-8205,BBB+,357.80100000000004,3.2847000000000017,0.0,6.0
16alpha-fluoroestradiol,BBB+,290.378,3.557200000000002,2.0,2.0
paclitaxel,BBB+,853.9180000000001,3.735700000000003,4.0,14.0
,BBB+,343.774,2.942500000000001,1.0,6.0
dpdpe,BBB+,645.8040000000001,1.1121000000000045,7.0,9.0
dpdpe,BBB+,645.8040000000003,1.1121000000000028,7.0,9.0
theobromine,BBB+,179.17899999999997,-0.10700000000000015,1.0,4.0
ethosuximide,BBB+,141.17,0.4491999999999999,1.0,2.0
78755-81-4,BBB+,303.293,1.7736999999999998,0.0,5.0
59468-85-8,BBB+,341.773,3.8151200000000025,1.0,4.0
"theobromine (3,7-dimethylxanthine)",BBB+,180.16699999999997,-1.0397,1.0,5.0
schembl5869149,BBB+,356.36000000000007,4.222380000000002,1.0,4.0
ns 1738,BBB+,365.13800000000003,5.3618000000000015,3.0,2.0
7439-93-2,BBB+,6.941,-0.3808,0.0,0.0
loratadine,BBB+,382.89100000000025,4.887800000000005,0.0,3.0
camptothecin,BBB+,348.35800000000006,2.0796,1.0,6.0
camptothecin,BBB+,368.41400000000004,3.7318000000000016,1.0,6.0
theophylline,BBB+,180.16699999999997,-0.6808000000000003,0.0,4.0
"1,3-dimethyl-5,7-dihydro-4h-purine-2,6-dione",BBB+,182.18299999999996,-1.1635999999999993,1.0,4.0
ketoconazole,BBB+,531.4399999999999,4.205800000000003,0.0,7.0
sotalol,BBB+,272.37,1.0895000000000001,3.0,4.0
"1,1-dichloroethane (ethylidene chloride)",BBB+,98.96000000000001,1.81,0.0,0.0
compound 38,BBB+,337.3830000000001,2.7932000000000006,1.0,6.0
bbcpd19 (ranitidine analog),BBB+,339.3990000000001,2.3104000000000005,2.0,6.0
112598-49-9,BBB+,337.3830000000001,3.7901000000000016,2.0,5.0
65936-23-4,BBB+,268.15799999999996,2.4370399999999997,2.0,3.0
unii-13w6wjx09r,BBB+,122.168,0.5825700000000003,2.0,2.0
chembl358151,BBB+,326.3560000000001,3.988100000000002,2.0,5.0
