MW,LogP,HBD,HBA,actual,predicted,probability_BBB+,actual_label,predicted_label,correct
300.48600000000005,5.2564000000000055,1.0,1.0,0,1,0.74,BBB-,BBB+,False
447.5330000000002,-3.851499999999994,8.0,12.0,0,0,0.0,BBB-,BBB-,True
325.496,5.341420000000006,1.0,2.0,1,0,0.1895,BBB+,BBB-,False
405.49600000000015,-3.585399999999993,6.0,10.0,0,0,0.01,BBB-,BBB-,True
414.4610000000002,0.2472000000000002,3.0,6.0,0,0,0.0074285714285714285,BBB-,BBB-,True
314.4980000000001,4.271100000000003,1.0,2.0,1,1,0.99,BBB+,BBB+,True
293.37000000000006,3.1285200000000017,0.0,4.0,1,1,0.98,BBB+,BBB+,True
352.522,4.575600000000003,2.0,3.0,1,1,0.82,BBB+,BBB+,True
202.301,2.20822,1.0,2.0,1,1,0.97,BBB+,BBB+,True
444.56800000000015,3.298700000000002,2.0,6.0,1,1,1.0,BBB+,BBB+,True
274.361,2.2687,2.0,4.0,1,1,0.98,BBB+,BBB+,True
361.485,5.771680000000005,0.0,3.0,0,0,0.5,BBB-,BBB-,True
379.46,3.196900000000002,0.0,4.0,1,1,1.0,BBB+,BBB+,True
278.399,3.917520000000003,0.0,2.0,1,1,0.86,BBB+,BBB+,True
369.4690000000002,3.464700000000001,1.0,6.0,0,0,0.47,BBB-,BBB-,True
75.067,-0.4882999999999999,2.0,2.0,0,1,0.71,BBB-,BBB+,False
395.45500000000015,2.5448000000000004,0.0,6.0,1,1,0.96,BBB+,BBB+,True
717.2960000000002,5.553000000000006,0.0,13.0,1,0,0.36353787878787885,BBB+,BBB-,False
807.114,-2.016,8.0,9.0,0,0,0.04866666666666667,BBB-,BBB-,True
104.173,-0.3150999999999999,1.0,1.0,1,1,0.89,BBB+,BBB+,True
520.5690000000004,3.327700000000002,1.0,7.0,1,1,1.0,BBB+,BBB+,True
298.42600000000004,3.4925000000000024,1.0,2.0,1,0,0.24126190476190476,BBB+,BBB-,False
353.4660000000001,1.9351,2.0,4.0,1,1,0.7,BBB+,BBB+,True
549.6530000000004,1.4582000000000004,4.0,7.0,0,0,0.03166666666666666,BBB-,BBB-,True
494.5310000000002,2.9853000000000014,1.0,7.0,1,1,1.0,BBB+,BBB+,True
656.6620000000001,2.752900000000001,3.0,14.0,0,1,0.89,BBB-,BBB+,False
430.4130000000001,-0.545099999999999,6.0,9.0,0,0,0.002857142857142857,BBB-,BBB-,True
386.53200000000027,4.607500000000004,0.0,4.0,1,1,0.8316666666666666,BBB+,BBB+,True
284.44700000000006,4.252000000000004,0.0,2.0,1,1,0.97,BBB+,BBB+,True
275.392,3.1968000000000023,0.0,3.0,1,1,0.99,BBB+,BBB+,True
495.0310000000004,4.595100000000004,1.0,5.0,1,1,0.97,BBB+,BBB+,True
478.8850000000002,0.2824000000000005,6.0,9.0,0,0,0.0,BBB-,BBB-,True
206.24500000000003,1.3751000000000002,2.0,2.0,1,1,0.89,BBB+,BBB+,True
416.4150000000002,0.5732999999999998,3.0,7.0,0,0,0.02,BBB-,BBB-,True
285.34300000000013,1.1588999999999998,2.0,4.0,1,1,0.99,BBB+,BBB+,True
429.47600000000017,-0.2481999999999987,4.0,6.0,0,0,0.02,BBB-,BBB-,True
335.4730000000001,2.0687999999999995,2.0,3.0,1,1,0.83,BBB+,BBB+,True
326.3560000000001,2.991200000000001,1.0,6.0,1,1,0.9125,BBB+,BBB+,True
602.9050000000001,3.633500000000006,0.0,6.0,0,0,0.325,BBB-,BBB-,True
298.34600000000006,1.5275,0.0,6.0,1,1,0.69,BBB+,BBB+,True
182.222,-0.2476000000000001,4.0,4.0,0,0,0.13499999999999998,BBB-,BBB-,True
470.6940000000004,6.412600000000009,2.0,3.0,0,0,0.01,BBB-,BBB-,True
614.6500000000003,-8.895300000000017,13.0,19.0,0,0,0.0,BBB-,BBB-,True
458.4960000000002,1.97722,4.0,7.0,0,0,0.24980952380952384,BBB-,BBB-,True
329.27100000000013,4.2191000000000045,0.0,2.0,1,1,0.95,BBB+,BBB+,True
285.36499999999995,0.1430000000000001,2.0,5.0,0,0,0.24,BBB-,BBB-,True
581.7470000000003,2.6704000000000017,2.0,10.0,0,1,0.51,BBB-,BBB+,False
684.9550000000003,7.913200000000011,2.0,8.0,1,1,1.0,BBB+,BBB+,True
454.9660000000002,3.889300000000003,1.0,5.0,1,1,1.0,BBB+,BBB+,True
482.5890000000002,4.132800000000003,1.0,6.0,1,1,1.0,BBB+,BBB+,True
354.45000000000005,2.647100000000001,2.0,4.0,0,0,0.21166666666666664,BBB-,BBB-,True
454.5190000000002,-0.6360799999999995,2.0,12.0,0,0,0.0,BBB-,BBB-,True
440.9500000000002,4.627600000000004,1.0,3.0,1,1,0.8208333333333333,BBB+,BBB+,True
269.388,3.655800000000003,1.0,2.0,1,1,0.77,BBB+,BBB+,True
585.6080000000002,-8.424200000000015,13.0,17.0,0,0,0.0,BBB-,BBB-,True
236.136,-1.0622000000000005,0.0,8.0,0,1,0.5634999999999999,BBB-,BBB+,False
414.33300000000025,1.6617999999999995,1.0,4.0,0,0,0.05,BBB-,BBB-,True
495.0310000000004,4.595100000000004,1.0,5.0,1,1,0.97,BBB+,BBB+,True
492.91200000000026,0.1339999999999999,6.0,9.0,0,0,0.018666666666666665,BBB-,BBB-,True
416.3820000000002,-0.0543000000000003,6.0,9.0,0,0,0.03,BBB-,BBB-,True
284.42800000000005,4.321700000000003,0.0,3.0,1,1,0.81,BBB+,BBB+,True
442.0280000000002,4.380100000000004,1.0,4.0,1,1,0.9933333333333333,BBB+,BBB+,True
238.287,1.3510999999999995,2.0,3.0,1,1,1.0,BBB+,BBB+,True
1141.4699999999996,1.227799999999997,10.0,12.0,0,0,0.01,BBB-,BBB-,True
271.158,2.3393,1.0,2.0,1,1,0.84,BBB+,BBB+,True
327.40200000000004,0.9073,1.0,6.0,1,0,0.29,BBB+,BBB-,False
490.58500000000026,4.3778200000000025,1.0,8.0,1,1,0.9375,BBB+,BBB+,True
381.4510000000002,3.7687000000000026,1.0,4.0,1,1,0.96,BBB+,BBB+,True
309.40899999999993,3.4452000000000016,1.0,3.0,1,1,1.0,BBB+,BBB+,True
386.5860000000001,4.901100000000005,0.0,4.0,1,1,0.97,BBB+,BBB+,True
1115.432,0.7635999999999958,10.0,13.0,0,0,0.0,BBB-,BBB-,True
337.463,4.236000000000003,1.0,3.0,1,1,0.89,BBB+,BBB+,True
341.4330000000001,0.4142000000000013,2.0,5.0,1,0,0.1,BBB+,BBB-,False
317.49700000000024,2.8465000000000007,1.0,2.0,0,1,0.6175,BBB-,BBB+,False
89.09400000000001,0.1016000000000002,1.0,2.0,1,1,0.99,BBB+,BBB+,True
361.87600000000015,4.354180000000005,0.0,3.0,1,1,0.9,BBB+,BBB+,True
235.28600000000003,0.3657000000000001,2.0,4.0,0,0,0.17,BBB-,BBB-,True
170.237,1.38499,2.0,2.0,0,1,0.8126666666666666,BBB-,BBB+,False
426.49200000000025,3.081320000000002,1.0,7.0,1,1,0.96,BBB+,BBB+,True
471.6850000000001,6.445800000000008,2.0,3.0,1,0,0.01,BBB+,BBB-,False
383.4960000000001,1.4098999999999997,0.0,6.0,1,1,0.98,BBB+,BBB+,True
272.192,4.235190000000001,1.0,2.0,0,1,0.98,BBB-,BBB+,False
835.086,2.201700000000009,5.0,16.0,0,0,0.0,BBB-,BBB-,True
527.5260000000003,1.0288999999999997,5.0,11.0,0,0,0.0,BBB-,BBB-,True
357.5380000000002,4.8460000000000045,1.0,3.0,1,1,1.0,BBB+,BBB+,True
206.201,-0.1026999999999993,1.0,3.0,1,1,0.58,BBB+,BBB+,True
413.4260000000003,2.881800000000001,0.0,8.0,1,1,0.98,BBB+,BBB+,True
419.4350000000002,-3.361799999999993,5.0,8.0,0,0,0.12,BBB-,BBB-,True
875.1060000000002,5.601400000000008,3.0,14.0,1,1,0.7075,BBB+,BBB+,True
275.34800000000007,1.8884,1.0,4.0,1,1,1.0,BBB+,BBB+,True
450.5040000000001,5.919700000000005,1.0,3.0,1,1,0.97,BBB+,BBB+,True
309.406,0.6347999999999998,4.0,5.0,1,0,0.3772142857142857,BBB+,BBB-,False
56.064,-0.3881,1.0,1.0,1,1,0.97,BBB+,BBB+,True
296.41,4.029500000000003,0.0,2.0,0,1,0.98,BBB-,BBB+,False
455.37800000000016,3.7363000000000026,1.0,5.0,1,1,1.0,BBB+,BBB+,True
789.0989999999998,-0.0288000000000006,6.0,8.0,0,0,0.051,BBB-,BBB-,True
263.3809999999999,2.6346000000000007,1.0,3.0,1,1,0.99,BBB+,BBB+,True
372.4610000000002,2.0118000000000005,2.0,5.0,1,1,0.98,BBB+,BBB+,True
453.45800000000014,-0.5447999999999991,4.0,10.0,0,0,0.0,BBB-,BBB-,True
196.21,-0.8214000000000001,0.0,4.0,1,1,0.6033333333333334,BBB+,BBB+,True
416.1350000000001,6.454800000000002,0.0,3.0,1,1,0.74,BBB+,BBB+,True
505.8410000000002,5.129100000000005,0.0,4.0,1,1,0.99,BBB+,BBB+,True
467.61300000000006,6.113400000000006,1.0,4.0,1,1,0.91,BBB+,BBB+,True
376.4680000000002,2.6367000000000016,2.0,4.0,1,1,0.99,BBB+,BBB+,True
581.5800000000004,-7.741760000000005,14.0,15.0,0,0,0.0,BBB-,BBB-,True
193.24999999999997,0.8541800000000002,0.0,4.0,1,1,0.98,BBB+,BBB+,True
401.4380000000002,2.3705000000000007,2.0,6.0,0,0,0.24,BBB-,BBB-,True
187.246,1.0024999999999995,1.0,3.0,1,1,0.92,BBB+,BBB+,True
369.4870000000002,1.2851000000000006,2.0,6.0,1,1,0.6890000000000001,BBB+,BBB+,True
434.52700000000016,4.601700000000005,1.0,4.0,1,1,0.9733333333333333,BBB+,BBB+,True
323.39700000000005,1.6011999999999995,1.0,8.0,1,0,0.415,BBB+,BBB-,False
207.229,1.31252,1.0,3.0,1,1,0.99,BBB+,BBB+,True
470.5440000000002,2.673700000000001,2.0,9.0,0,0,0.44,BBB-,BBB-,True
487.5090000000003,-0.0427999999999979,5.0,10.0,0,0,0.059000000000000004,BBB-,BBB-,True
255.32099999999997,1.898,0.0,4.0,1,1,0.8,BBB+,BBB+,True
112.216,3.142800000000002,0.0,0.0,1,1,0.98,BBB+,BBB+,True
349.30500000000006,2.3503000000000007,1.0,5.0,1,1,0.95,BBB+,BBB+,True
327.3800000000001,1.3014,2.0,5.0,1,1,0.98,BBB+,BBB+,True
233.245,-0.794999999999999,1.0,4.0,0,0,0.336,BBB-,BBB-,True
528.5730000000003,3.924200000000004,1.0,8.0,1,1,0.992,BBB+,BBB+,True
811.8780000000002,3.157700000000002,4.0,16.0,0,0,0.0,BBB-,BBB-,True
324.44900000000007,0.612,2.0,6.0,0,0,0.13166666666666668,BBB-,BBB-,True
252.273,3.0294000000000016,1.0,2.0,1,1,0.99,BBB+,BBB+,True
374.91200000000015,3.055900000000001,1.0,4.0,1,1,0.98,BBB+,BBB+,True
389.4110000000002,2.2113,1.0,4.0,1,1,0.57,BBB+,BBB+,True
340.4710000000002,2.931700000000001,2.0,2.0,1,1,0.92,BBB+,BBB+,True
264.543,3.017900000000001,2.0,3.0,1,1,0.95,BBB+,BBB+,True
527.5740000000002,0.3132000000000033,6.0,10.0,0,0,0.3521904761904762,BBB-,BBB-,True
813.9790000000002,2.7674000000000056,3.0,16.0,0,0,0.0,BBB-,BBB-,True
271.3160000000001,0.8558999999999997,3.0,4.0,1,1,0.98,BBB+,BBB+,True
549.6530000000004,1.4582000000000004,4.0,7.0,0,0,0.03166666666666666,BBB-,BBB-,True
615.6340000000004,-8.861700000000015,13.0,19.0,0,0,0.0,BBB-,BBB-,True
316.135,-1.1939999999999995,0.0,12.0,0,0,0.17850000000000002,BBB-,BBB-,True
328.5000000000001,4.1181000000000045,2.0,2.0,0,0,0.09,BBB-,BBB-,True
513.5000000000003,-1.099199999999991,5.0,9.0,0,0,0.018333333333333333,BBB-,BBB-,True
337.46300000000014,4.499300000000004,2.0,2.0,1,1,0.96,BBB+,BBB+,True
374.88700000000017,4.6543000000000045,0.0,3.0,1,1,0.9,BBB+,BBB+,True
323.4650000000001,4.358680000000004,0.0,4.0,1,1,0.89,BBB+,BBB+,True
274.361,2.2687,2.0,4.0,1,1,0.98,BBB+,BBB+,True
228.208,-2.1388,3.0,8.0,0,1,0.8366666666666667,BBB-,BBB+,False
374.4340000000001,-1.7552999999999952,5.0,9.0,0,0,0.005,BBB-,BBB-,True
435.44000000000017,-1.172499999999998,4.0,10.0,0,0,0.0,BBB-,BBB-,True
720.9620000000001,5.905200000000005,4.0,9.0,0,1,0.76,BBB-,BBB+,False
508.5580000000003,3.327700000000002,1.0,7.0,1,1,1.0,BBB+,BBB+,True
324.40200000000004,1.8082,2.0,5.0,1,1,0.9766666666666666,BBB+,BBB+,True
314.4980000000001,4.271100000000003,1.0,2.0,1,1,0.99,BBB+,BBB+,True
418.5740000000002,4.585600000000005,1.0,5.0,1,1,0.94,BBB+,BBB+,True
151.20899999999995,1.5963999999999998,2.0,2.0,0,0,0.225,BBB-,BBB-,True
242.231,-1.5142799999999992,3.0,6.0,0,1,0.57,BBB-,BBB+,False
392.4670000000002,1.8957,3.0,5.0,0,1,1.0,BBB-,BBB+,False
371.34500000000014,2.476700000000001,2.0,6.0,0,1,0.52,BBB-,BBB+,False
861.0790000000003,5.211300000000007,3.0,14.0,0,0,0.03645021645021645,BBB-,BBB-,True
331.41900000000004,3.9075000000000015,3.0,3.0,1,1,0.74,BBB+,BBB+,True
416.3900000000001,4.769500000000003,2.0,4.0,1,1,0.91,BBB+,BBB+,True
799.9960000000002,3.830300000000008,1.0,15.0,0,0,0.0,BBB-,BBB-,True
224.26,0.961,2.0,3.0,1,1,1.0,BBB+,BBB+,True
294.307,-0.3110999999999995,3.0,5.0,0,0,0.19,BBB-,BBB-,True
454.5310000000004,2.895200000000001,4.0,9.0,1,0,0.19,BBB+,BBB-,False
285.321,0.3736999999999999,2.0,5.0,0,0,0.0,BBB-,BBB-,True
339.32900000000006,-0.7982199999999984,2.0,7.0,0,0,0.02,BBB-,BBB-,True
388.8950000000002,3.148200000000002,1.0,4.0,0,0,0.395,BBB-,BBB-,True
309.52900000000005,-0.4629000000000002,3.0,6.0,1,1,1.0,BBB+,BBB+,True
567.5500000000001,6.113500000000006,0.0,6.0,1,1,0.9,BBB+,BBB+,True
410.46600000000007,4.965400000000005,1.0,6.0,0,1,0.6723333333333333,BBB-,BBB+,False
407.5360000000002,0.0924000000000009,1.0,5.0,0,0,0.0,BBB-,BBB-,True
232.27999999999997,1.2294000000000005,2.0,4.0,1,1,0.97,BBB+,BBB+,True
334.33200000000005,-1.6511999999999971,3.0,8.0,0,0,0.0,BBB-,BBB-,True
578.6630000000002,2.686400000000001,2.0,9.0,1,1,0.96,BBB+,BBB+,True
480.64900000000034,4.943400000000005,1.0,6.0,0,0,0.0,BBB-,BBB-,True
433.53000000000014,1.473600000000001,1.0,7.0,0,0,0.27,BBB-,BBB-,True
550.0670000000002,4.703480000000005,1.0,7.0,1,1,1.0,BBB+,BBB+,True
198.222,0.5009999999999999,1.0,3.0,1,1,0.5720000000000001,BBB+,BBB+,True
462.6520000000003,4.095200000000004,2.0,6.0,1,1,0.98,BBB+,BBB+,True
289.80600000000004,3.394400000000002,1.0,2.0,1,1,0.965,BBB+,BBB+,True
1422.7199999999998,-1.6776000000000275,17.0,19.0,0,0,0.0075,BBB-,BBB-,True
344.79800000000006,4.371300000000003,0.0,3.0,1,1,0.97,BBB+,BBB+,True
572.8750000000001,6.110500000000007,0.0,4.0,0,0,0.32,BBB-,BBB-,True
418.29100000000005,3.8808000000000034,0.0,5.0,1,1,0.915,BBB+,BBB+,True
351.353,1.7959,2.0,5.0,0,1,0.91,BBB-,BBB+,False
331.43700000000007,2.27862,1.0,4.0,0,1,0.96,BBB-,BBB+,False
315.80000000000007,3.752600000000003,1.0,3.0,1,1,0.5986666666666666,BBB+,BBB+,True
513.6770000000002,5.950920000000006,1.0,5.0,0,1,0.59,BBB-,BBB+,False
571.6250000000001,-7.950800000000014,13.0,17.0,0,0,0.0,BBB-,BBB-,True
535.6370000000005,4.120600000000004,1.0,8.0,1,1,1.0,BBB+,BBB+,True
472.5780000000002,3.335300000000002,1.0,7.0,1,1,1.0,BBB+,BBB+,True
1136.1150000000002,2.566600000000001,7.0,19.0,1,1,0.94,BBB+,BBB+,True
219.23999999999995,1.4578,0.0,3.0,1,1,0.88,BBB+,BBB+,True
250.345,3.472080000000002,1.0,2.0,1,1,0.99,BBB+,BBB+,True
478.57700000000017,1.4108200000000002,3.0,9.0,0,0,0.06,BBB-,BBB-,True
308.422,2.946300000000001,1.0,5.0,0,1,0.72,BBB-,BBB+,False
370.4190000000001,2.625000000000001,0.0,4.0,1,1,0.81,BBB+,BBB+,True
223.29700000000005,1.7288,1.0,3.0,1,1,0.98,BBB+,BBB+,True
353.918,5.5781000000000045,0.0,2.0,1,1,0.99,BBB+,BBB+,True
436.5710000000002,4.753220000000005,0.0,3.0,1,1,0.98,BBB+,BBB+,True
489.38600000000025,4.859800000000004,0.0,4.0,1,1,1.0,BBB+,BBB+,True
442.6000000000002,4.200300000000004,0.0,5.0,1,1,0.9675,BBB+,BBB+,True
383.51700000000017,2.8560000000000016,1.0,6.0,1,1,0.5848333333333333,BBB+,BBB+,True
356.56,4.4043000000000045,0.0,4.0,1,1,0.92,BBB+,BBB+,True
519.5870000000002,-1.8399999999999967,4.0,13.0,0,0,0.0,BBB-,BBB-,True
223.07,0.6008000000000002,2.0,2.0,1,1,0.93,BBB+,BBB+,True
537.8290000000003,9.3127,0.0,4.0,1,1,0.99,BBB+,BBB+,True
285.387,2.966600000000001,1.0,3.0,1,1,1.0,BBB+,BBB+,True
349.26500000000004,4.191420000000004,0.0,4.0,1,1,0.8,BBB+,BBB+,True
568.634,0.1531000000000019,3.0,13.0,0,0,0.0,BBB-,BBB-,True
532.6490000000002,4.405900000000004,1.0,7.0,1,1,0.8353333333333335,BBB+,BBB+,True
379.46000000000015,2.2549,1.0,5.0,1,1,0.95,BBB+,BBB+,True
243.34999999999997,2.7382,2.0,2.0,1,1,1.0,BBB+,BBB+,True
237.255,1.0537,1.0,4.0,1,1,1.0,BBB+,BBB+,True
340.4710000000002,2.931700000000001,2.0,2.0,1,1,0.92,BBB+,BBB+,True
188.267,1.4024,1.0,3.0,1,1,0.86,BBB+,BBB+,True
212.318,1.3037999999999998,1.0,2.0,1,1,0.99,BBB+,BBB+,True
340.4710000000002,2.931700000000001,2.0,2.0,1,1,0.92,BBB+,BBB+,True
308.425,3.216600000000001,2.0,2.0,0,1,0.6,BBB-,BBB+,False
345.3950000000001,0.7617999999999996,2.0,6.0,1,1,0.97,BBB+,BBB+,True
383.3630000000003,4.648900000000005,0.0,2.0,1,1,0.97,BBB+,BBB+,True
301.342,0.7451999999999999,2.0,5.0,1,1,0.99,BBB+,BBB+,True
300.427,3.2565000000000017,0.0,3.0,1,1,0.73,BBB+,BBB+,True
268.273,-2.708299999999996,2.0,6.0,0,0,0.15444444444444444,BBB-,BBB-,True
156.26899999999995,2.583600000000001,1.0,1.0,1,1,0.9,BBB+,BBB+,True
154.12099999999998,0.7959999999999998,3.0,3.0,1,0,0.07,BBB+,BBB-,False
287.36299999999994,1.9229,2.0,3.0,0,0,0.29,BBB-,BBB-,True
431.55800000000033,2.6606000000000014,1.0,6.0,0,1,0.71,BBB-,BBB+,False
594.6680000000002,-0.5885999999999969,2.0,11.0,0,0,0.01,BBB-,BBB-,True
382.5290000000001,3.8210000000000015,1.0,3.0,1,1,0.97,BBB+,BBB+,True
362.78800000000007,2.0163000000000006,2.0,4.0,1,1,0.96,BBB+,BBB+,True
256.37100000000004,1.74,2.0,3.0,1,1,0.94,BBB+,BBB+,True
924.0910000000003,0.7117000000000053,12.0,17.0,0,0,0.0,BBB-,BBB-,True
420.47700000000015,2.2205000000000004,2.0,6.0,1,1,1.0,BBB+,BBB+,True
770.9379999999998,6.003440000000006,2.0,14.0,1,1,0.7319047619047617,BBB+,BBB+,True
339.5080000000001,3.9268000000000023,0.0,4.0,1,1,0.8,BBB+,BBB+,True
634.7260000000003,4.570700000000004,1.0,10.0,0,1,0.7048333333333332,BBB-,BBB+,False
489.38600000000025,4.859800000000004,0.0,4.0,1,1,1.0,BBB+,BBB+,True
424.99100000000016,0.3895000000000003,4.0,7.0,0,0,0.16729870129870136,BBB-,BBB-,True
182.183,-1.1619999999999997,1.0,4.0,1,1,0.6966666666666665,BBB+,BBB+,True
355.4340000000002,2.0816,2.0,5.0,1,1,1.0,BBB+,BBB+,True
462.5390000000004,2.1973,3.0,7.0,1,1,1.0,BBB+,BBB+,True
224.216,-0.7090799999999999,2.0,5.0,1,1,0.8933333333333333,BBB+,BBB+,True
324.38000000000005,2.519000000000001,1.0,4.0,1,1,0.9050595238095238,BBB+,BBB+,True
266.33699999999993,2.7723000000000018,2.0,4.0,0,1,0.94,BBB-,BBB+,False
138.122,1.0903999999999998,2.0,2.0,0,1,0.88,BBB-,BBB+,False
373.4160000000001,2.3132,0.0,6.0,1,1,0.67,BBB+,BBB+,True
271.747,3.9163000000000014,1.0,2.0,1,1,0.96,BBB+,BBB+,True
368.5240000000001,5.1070000000000055,0.0,2.0,1,1,0.84,BBB+,BBB+,True
288.475,5.090300000000005,1.0,1.0,0,1,0.706,BBB-,BBB+,False
427.4640000000001,-0.539199999999999,3.0,10.0,0,0,0.00875,BBB-,BBB-,True
424.5340000000002,2.4404000000000003,4.0,6.0,0,0,0.051428571428571435,BBB-,BBB-,True
470.3340000000002,3.2021200000000007,2.0,6.0,0,0,0.03,BBB-,BBB-,True
479.5990000000003,1.749500000000001,1.0,8.0,0,0,0.03133333333333334,BBB-,BBB-,True
304.84600000000006,4.552200000000004,1.0,3.0,1,1,0.82,BBB+,BBB+,True
182.183,-1.1636000000000002,1.0,4.0,1,1,0.6966666666666665,BBB+,BBB+,True
613.9590000000001,3.156200000000001,2.0,3.0,0,0,0.49,BBB-,BBB-,True
504.5950000000003,3.8175000000000026,1.0,7.0,1,1,0.99,BBB+,BBB+,True
493.54200000000026,-1.3553999999999948,6.0,8.0,0,0,0.01,BBB-,BBB-,True
804.0310000000001,4.639000000000004,3.0,12.0,0,0,0.008,BBB-,BBB-,True
240.303,1.7191999999999998,2.0,3.0,1,1,0.84,BBB+,BBB+,True
315.716,3.037700000000001,1.0,4.0,1,1,0.68875,BBB+,BBB+,True
924.0910000000003,0.7117000000000049,12.0,17.0,0,0,0.0,BBB-,BBB-,True
447.5330000000002,-3.851499999999992,8.0,12.0,0,0,0.0,BBB-,BBB-,True
218.25599999999997,1.4735,1.0,2.0,1,1,1.0,BBB+,BBB+,True
112.216,2.832600000000001,0.0,0.0,1,1,1.0,BBB+,BBB+,True
415.82900000000006,3.4705200000000014,1.0,6.0,0,1,0.8166666666666665,BBB-,BBB+,False
324.8110000000001,3.934000000000003,0.0,2.0,1,1,0.8658333333333332,BBB+,BBB+,True
285.343,1.6303,1.0,4.0,1,1,1.0,BBB+,BBB+,True
282.771,1.7921,1.0,3.0,1,1,0.9,BBB+,BBB+,True
415.8960000000001,4.107100000000004,1.0,4.0,1,1,0.98,BBB+,BBB+,True
270.21,3.254120000000001,1.0,3.0,0,1,0.78,BBB-,BBB+,False
416.6460000000002,5.704700000000008,3.0,3.0,0,0,0.02,BBB-,BBB-,True
420.5280000000002,4.894080000000004,1.0,3.0,1,1,0.99,BBB+,BBB+,True
323.4650000000001,4.358680000000004,0.0,4.0,1,1,0.89,BBB+,BBB+,True
511.5820000000002,0.8396999999999999,2.0,12.0,0,0,0.1,BBB-,BBB-,True
346.81800000000004,1.6665399999999997,2.0,5.0,0,1,0.6033333333333334,BBB-,BBB+,False
324.4240000000001,3.1732000000000014,1.0,4.0,1,1,0.6022633477633478,BBB+,BBB+,True
684.9550000000003,7.913200000000011,2.0,8.0,1,1,1.0,BBB+,BBB+,True
411.58600000000007,5.381100000000005,1.0,4.0,1,1,0.87,BBB+,BBB+,True
280.4150000000001,4.095600000000004,1.0,2.0,1,1,0.99,BBB+,BBB+,True
232.283,1.3532,2.0,3.0,1,1,0.86,BBB+,BBB+,True
408.9220000000002,2.1650000000000005,3.0,5.0,1,1,1.0,BBB+,BBB+,True
416.5140000000002,2.3744000000000005,2.0,6.0,1,1,1.0,BBB+,BBB+,True
316.48500000000007,4.205100000000003,1.0,2.0,1,1,0.98,BBB+,BBB+,True
481.53000000000026,1.6458999999999997,2.0,8.0,0,0,0.01,BBB-,BBB-,True
324.771,3.071020000000001,1.0,5.0,0,0,0.29921428571428577,BBB-,BBB-,True
312.4170000000001,2.3184,1.0,4.0,1,1,0.97,BBB+,BBB+,True
88.14999999999998,1.1673,1.0,1.0,1,1,0.87,BBB+,BBB+,True
459.01100000000014,4.722800000000004,1.0,6.0,1,1,0.7758333333333333,BBB+,BBB+,True
457.4830000000002,0.0300000000000018,5.0,9.0,0,1,0.935,BBB-,BBB+,False
442.38700000000034,3.6911000000000014,0.0,4.0,1,1,0.99,BBB+,BBB+,True
321.8770000000001,4.522590000000004,1.0,3.0,1,1,1.0,BBB+,BBB+,True
287.75,1.9726,2.0,4.0,1,1,0.97,BBB+,BBB+,True
287.35900000000004,2.3520000000000003,4.0,4.0,0,1,0.74,BBB-,BBB+,False
428.4470000000002,2.1409,3.0,5.0,1,1,1.0,BBB+,BBB+,True
343.898,5.104400000000005,0.0,2.0,1,1,0.84,BBB+,BBB+,True
